english,sign
i see book,I SEE BOOK
he study college,HE STUDY COLLEGE
they see food,THEY SEE FOOD
we want cricket,WE WANT CRICKET
she study book,SHE STUDY BOOK
they like water,THEY LIKE WATER
i drink college,I DRINK COLLEGE
you play book,YOU PLAY BOOK
i go water,I GO WATER
you like college,YOU LIKE COLLEGE
she see food,SHE SEE FOOD
i like movie,I LIKE MOVIE
they like food,THEY LIKE FOOD
you drink college,YOU DRINK COLLEGE
she want cricket,SHE WANT CRICKET
you study college,YOU STUDY COLLEGE
i like movie,I LIKE MOVIE
you eat book,YOU EAT BOOK
she like movie,SHE LIKE MOVIE
we eat movie,WE EAT MOVIE
we want college,WE WANT COLLEGE
i like food,I LIKE FOOD
you study cricket,YOU STUDY CRICKET
we go book,WE GO BOOK
they see food,THEY SEE FOOD
she drink college,SHE DRINK COLLEGE
i go book,I GO BOOK
we study book,WE STUDY BOOK
they go food,THEY GO FOOD
he play school,HE PLAY SCHOOL
he go water,HE GO WATER
we like cricket,WE LIKE CRICKET
he like book,HE LIKE BOOK
i see food,I SEE FOOD
you see water,YOU SEE WATER
she study cricket,SHE STUDY CRICKET
he play cricket,HE PLAY CRICKET
i eat cricket,I EAT CRICKET
we see water,WE SEE WATER
he like movie,HE LIKE MOVIE
he like college,HE LIKE COLLEGE
we eat food,WE EAT FOOD
i see cricket,I SEE CRICKET
she go school,SHE GO SCHOOL
you want school,YOU WANT SCHOOL
you want cricket,YOU WANT CRICKET
you study book,YOU STUDY BOOK
i play food,I PLAY FOOD
she like water,SHE LIKE WATER
he drink college,HE DRINK COLLEGE
i go water,I GO WATER
he go water,HE GO WATER
he go book,HE GO BOOK
they play school,THEY PLAY SCHOOL
you play school,YOU PLAY SCHOOL
he like college,HE LIKE COLLEGE
i see school,I SEE SCHOOL
he drink movie,HE DRINK MOVIE
i go school,I GO SCHOOL
you go food,YOU GO FOOD
they study college,THEY STUDY COLLEGE
we drink college,WE DRINK COLLEGE
he go water,HE GO WATER
i go water,I GO WATER
we want food,WE WANT FOOD
they want school,THEY WANT SCHOOL
he go book,HE GO BOOK
she like cricket,SHE LIKE CRICKET
she eat cricket,SHE EAT CRICKET
i study college,I STUDY COLLEGE
they see cricket,THEY SEE CRICKET
we want college,WE WANT COLLEGE
we like water,WE LIKE WATER
he want movie,HE WANT MOVIE
they drink school,THEY DRINK SCHOOL
they eat water,THEY EAT WATER
they want book,THEY WANT BOOK
they go book,THEY GO BOOK
they like school,THEY LIKE SCHOOL
you drink movie,YOU DRINK MOVIE
you play movie,YOU PLAY MOVIE
you study book,YOU STUDY BOOK
we want cricket,WE WANT CRICKET
i like book,I LIKE BOOK
she see cricket,SHE SEE CRICKET
you want water,YOU WANT WATER
they go food,THEY GO FOOD
you like college,YOU LIKE COLLEGE
he go cricket,HE GO CRICKET
you drink college,YOU DRINK COLLEGE
they like water,THEY LIKE WATER
they go food,THEY GO FOOD
she see college,SHE SEE COLLEGE
he study food,HE STUDY FOOD
you drink college,YOU DRINK COLLEGE
i go book,I GO BOOK
he eat food,HE EAT FOOD
we play movie,WE PLAY MOVIE
he want book,HE WANT BOOK
you want cricket,YOU WANT CRICKET
we like school,WE LIKE SCHOOL
they study school,THEY STUDY SCHOOL
i go college,I GO COLLEGE
i study movie,I STUDY MOVIE
we study school,WE STUDY SCHOOL
they play book,THEY PLAY BOOK
they drink book,THEY DRINK BOOK
we like cricket,WE LIKE CRICKET
he go school,HE GO SCHOOL
i study food,I STUDY FOOD
you eat water,YOU EAT WATER
you play water,YOU PLAY WATER
i play movie,I PLAY MOVIE
he like movie,HE LIKE MOVIE
he like college,HE LIKE COLLEGE
we like water,WE LIKE WATER
i drink movie,I DRINK MOVIE
she eat college,SHE EAT COLLEGE
we study water,WE STUDY WATER
she play cricket,SHE PLAY CRICKET
she like movie,SHE LIKE MOVIE
she eat school,SHE EAT SCHOOL
i like school,I LIKE SCHOOL
he drink school,HE DRINK SCHOOL
we see college,WE SEE COLLEGE
she see book,SHE SEE BOOK
we drink food,WE DRINK FOOD
he see movie,HE SEE MOVIE
we drink water,WE DRINK WATER
we eat book,WE EAT BOOK
she drink water,SHE DRINK WATER
we play book,WE PLAY BOOK
we like movie,WE LIKE MOVIE
you study movie,YOU STUDY MOVIE
she see college,SHE SEE COLLEGE
i like movie,I LIKE MOVIE
she want school,SHE WANT SCHOOL
he drink college,HE DRINK COLLEGE
he eat cricket,HE EAT CRICKET
you drink water,YOU DRINK WATER
he go college,HE GO COLLEGE
you study book,YOU STUDY BOOK
we study school,WE STUDY SCHOOL
you like book,YOU LIKE BOOK
we drink cricket,WE DRINK CRICKET
you see movie,YOU SEE MOVIE
she play college,SHE PLAY COLLEGE
i study book,I STUDY BOOK
i eat water,I EAT WATER
they study water,THEY STUDY WATER
you like school,YOU LIKE SCHOOL
they see movie,THEY SEE MOVIE
she like water,SHE LIKE WATER
you go book,YOU GO BOOK
she go movie,SHE GO MOVIE
i want book,I WANT BOOK
she want food,SHE WANT FOOD
i want book,I WANT BOOK
she want college,SHE WANT COLLEGE
i play book,I PLAY BOOK
i study food,I STUDY FOOD
they go cricket,THEY GO CRICKET
he like college,HE LIKE COLLEGE
you eat water,YOU EAT WATER
we go food,WE GO FOOD
you see cricket,YOU SEE CRICKET
you see water,YOU SEE WATER
we drink college,WE DRINK COLLEGE
we want college,WE WANT COLLEGE
we play cricket,WE PLAY CRICKET
he study book,HE STUDY BOOK
they study food,THEY STUDY FOOD
you want book,YOU WANT BOOK
we eat movie,WE EAT MOVIE
she go school,SHE GO SCHOOL
i go movie,I GO MOVIE
they drink college,THEY DRINK COLLEGE
she play food,SHE PLAY FOOD
i play college,I PLAY COLLEGE
they see water,THEY SEE WATER
we drink cricket,WE DRINK CRICKET
she study food,SHE STUDY FOOD
they eat water,THEY EAT WATER
he like college,HE LIKE COLLEGE
we see school,WE SEE SCHOOL
you eat movie,YOU EAT MOVIE
he eat school,HE EAT SCHOOL
i study movie,I STUDY MOVIE
i go movie,I GO MOVIE
we eat book,WE EAT BOOK
he play cricket,HE PLAY CRICKET
he eat movie,HE EAT MOVIE
they study water,THEY STUDY WATER
she eat book,SHE EAT BOOK
she go cricket,SHE GO CRICKET
we play water,WE PLAY WATER
they study cricket,THEY STUDY CRICKET
i study cricket,I STUDY CRICKET
they want food,THEY WANT FOOD
you eat school,YOU EAT SCHOOL
we like water,WE LIKE WATER
he drink movie,HE DRINK MOVIE
they study food,THEY STUDY FOOD
you like movie,YOU LIKE MOVIE
we study book,WE STUDY BOOK
i eat water,I EAT WATER
he see school,HE SEE SCHOOL
she study movie,SHE STUDY MOVIE
they drink book,THEY DRINK BOOK
they want food,THEY WANT FOOD
we go college,WE GO COLLEGE
you drink book,YOU DRINK BOOK
they study cricket,THEY STUDY CRICKET
they go book,THEY GO BOOK
we go food,WE GO FOOD
i play cricket,I PLAY CRICKET
she play movie,SHE PLAY MOVIE
we study water,WE STUDY WATER
he study movie,HE STUDY MOVIE
he go school,HE GO SCHOOL
i want food,I WANT FOOD
they see food,THEY SEE FOOD
he play school,HE PLAY SCHOOL
they eat food,THEY EAT FOOD
you drink movie,YOU DRINK MOVIE
we eat food,WE EAT FOOD
you play book,YOU PLAY BOOK
she see food,SHE SEE FOOD
you eat school,YOU EAT SCHOOL
you eat college,YOU EAT COLLEGE
they want movie,THEY WANT MOVIE
you eat food,YOU EAT FOOD
i eat book,I EAT BOOK
i like cricket,I LIKE CRICKET
you drink water,YOU DRINK WATER
we like college,WE LIKE COLLEGE
i want food,I WANT FOOD
she want college,SHE WANT COLLEGE
he see water,HE SEE WATER
she play water,SHE PLAY WATER
we play food,WE PLAY FOOD
she see school,SHE SEE SCHOOL
we study school,WE STUDY SCHOOL
he play cricket,HE PLAY CRICKET
we eat food,WE EAT FOOD
we study water,WE STUDY WATER
she want college,SHE WANT COLLEGE
she want water,SHE WANT WATER
you drink school,YOU DRINK SCHOOL
we want water,WE WANT WATER
we study movie,WE STUDY MOVIE
i play food,I PLAY FOOD
they play book,THEY PLAY BOOK
they study water,THEY STUDY WATER
she play school,SHE PLAY SCHOOL
we eat school,WE EAT SCHOOL
we drink college,WE DRINK COLLEGE
i study book,I STUDY BOOK
she study movie,SHE STUDY MOVIE
i want cricket,I WANT CRICKET
she like food,SHE LIKE FOOD
they drink cricket,THEY DRINK CRICKET
we like college,WE LIKE COLLEGE
they see book,THEY SEE BOOK
he study water,HE STUDY WATER
you study food,YOU STUDY FOOD
you like movie,YOU LIKE MOVIE
she want college,SHE WANT COLLEGE
she drink movie,SHE DRINK MOVIE
we play water,WE PLAY WATER
i see cricket,I SEE CRICKET
we go school,WE GO SCHOOL
we want college,WE WANT COLLEGE
she drink cricket,SHE DRINK CRICKET
she see water,SHE SEE WATER
you drink water,YOU DRINK WATER
she play cricket,SHE PLAY CRICKET
she want cricket,SHE WANT CRICKET
you eat food,YOU EAT FOOD
they go food,THEY GO FOOD
we drink school,WE DRINK SCHOOL
i go food,I GO FOOD
they study college,THEY STUDY COLLEGE
we like water,WE LIKE WATER
he eat food,HE EAT FOOD
you study book,YOU STUDY BOOK
you see college,YOU SEE COLLEGE
he like school,HE LIKE SCHOOL
we see college,WE SEE COLLEGE
he go school,HE GO SCHOOL
they want book,THEY WANT BOOK
you go cricket,YOU GO CRICKET
they see cricket,THEY SEE CRICKET
she want school,SHE WANT SCHOOL
they see book,THEY SEE BOOK
i see cricket,I SEE CRICKET
she study food,SHE STUDY FOOD
you drink cricket,YOU DRINK CRICKET
she want water,SHE WANT WATER
they study water,THEY STUDY WATER
she see food,SHE SEE FOOD
you want water,YOU WANT WATER
i like college,I LIKE COLLEGE
i like college,I LIKE COLLEGE
they study school,THEY STUDY SCHOOL
i drink school,I DRINK SCHOOL
they drink cricket,THEY DRINK CRICKET
they eat food,THEY EAT FOOD
they play food,THEY PLAY FOOD
we study book,WE STUDY BOOK
he want college,HE WANT COLLEGE
i want water,I WANT WATER
we want movie,WE WANT MOVIE
we see water,WE SEE WATER
she go school,SHE GO SCHOOL
she like movie,SHE LIKE MOVIE
i go book,I GO BOOK
i want cricket,I WANT CRICKET
he study movie,HE STUDY MOVIE
i want water,I WANT WATER
you like cricket,YOU LIKE CRICKET
they eat book,THEY EAT BOOK
they eat movie,THEY EAT MOVIE
we drink college,WE DRINK COLLEGE
you eat cricket,YOU EAT CRICKET
i play food,I PLAY FOOD
we drink food,WE DRINK FOOD
you go movie,YOU GO MOVIE
you play book,YOU PLAY BOOK
you drink college,YOU DRINK COLLEGE
you eat water,YOU EAT WATER
they see book,THEY SEE BOOK
i see school,I SEE SCHOOL
they want movie,THEY WANT MOVIE
she drink water,SHE DRINK WATER
she go college,SHE GO COLLEGE
i like movie,I LIKE MOVIE
she like water,SHE LIKE WATER
you want water,YOU WANT WATER
she like water,SHE LIKE WATER
i like food,I LIKE FOOD
we eat book,WE EAT BOOK
he eat water,HE EAT WATER
she play cricket,SHE PLAY CRICKET
we study school,WE STUDY SCHOOL
we see movie,WE SEE MOVIE
you want food,YOU WANT FOOD
you eat book,YOU EAT BOOK
i play book,I PLAY BOOK
he see college,HE SEE COLLEGE
she go food,SHE GO FOOD
she go food,SHE GO FOOD
they want movie,THEY WANT MOVIE
he play movie,HE PLAY MOVIE
she want college,SHE WANT COLLEGE
she study food,SHE STUDY FOOD
i see cricket,I SEE CRICKET
you see book,YOU SEE BOOK
they go movie,THEY GO MOVIE
i drink school,I DRINK SCHOOL
they want movie,THEY WANT MOVIE
he like water,HE LIKE WATER
they drink food,THEY DRINK FOOD
he drink water,HE DRINK WATER
they eat water,THEY EAT WATER
i eat college,I EAT COLLEGE
she see water,SHE SEE WATER
you play movie,YOU PLAY MOVIE
she study water,SHE STUDY WATER
we like water,WE LIKE WATER
i like movie,I LIKE MOVIE
he eat book,HE EAT BOOK
i play school,I PLAY SCHOOL
i study food,I STUDY FOOD
she study cricket,SHE STUDY CRICKET
we want water,WE WANT WATER
she want college,SHE WANT COLLEGE
they want school,THEY WANT SCHOOL
they play food,THEY PLAY FOOD
they want cricket,THEY WANT CRICKET
you study cricket,YOU STUDY CRICKET
they play water,THEY PLAY WATER
he play water,HE PLAY WATER
he see book,HE SEE BOOK
she study school,SHE STUDY SCHOOL
she drink school,SHE DRINK SCHOOL
he eat book,HE EAT BOOK
you like school,YOU LIKE SCHOOL
he eat cricket,HE EAT CRICKET
he like cricket,HE LIKE CRICKET
we go college,WE GO COLLEGE
we want movie,WE WANT MOVIE
you like book,YOU LIKE BOOK
you eat water,YOU EAT WATER
she see water,SHE SEE WATER
they like book,THEY LIKE BOOK
they see college,THEY SEE COLLEGE
she drink college,SHE DRINK COLLEGE
you want school,YOU WANT SCHOOL
you play college,YOU PLAY COLLEGE
we drink cricket,WE DRINK CRICKET
you drink book,YOU DRINK BOOK
he drink school,HE DRINK SCHOOL
we like cricket,WE LIKE CRICKET
we go movie,WE GO MOVIE
she see college,SHE SEE COLLEGE
you go movie,YOU GO MOVIE
we play cricket,WE PLAY CRICKET
they want cricket,THEY WANT CRICKET
i drink movie,I DRINK MOVIE
you see college,YOU SEE COLLEGE
he see school,HE SEE SCHOOL
we study school,WE STUDY SCHOOL
i go water,I GO WATER
i study college,I STUDY COLLEGE
he like movie,HE LIKE MOVIE
they like college,THEY LIKE COLLEGE
we like water,WE LIKE WATER
he drink movie,HE DRINK MOVIE
you drink water,YOU DRINK WATER
you play book,YOU PLAY BOOK
i eat college,I EAT COLLEGE
they study cricket,THEY STUDY CRICKET
she want movie,SHE WANT MOVIE
she drink food,SHE DRINK FOOD
you like college,YOU LIKE COLLEGE
he eat water,HE EAT WATER
you go cricket,YOU GO CRICKET
you go water,YOU GO WATER
he see food,HE SEE FOOD
you play cricket,YOU PLAY CRICKET
we want water,WE WANT WATER
i play water,I PLAY WATER
she study book,SHE STUDY BOOK
they want cricket,THEY WANT CRICKET
you play food,YOU PLAY FOOD
we study school,WE STUDY SCHOOL
you like college,YOU LIKE COLLEGE
you like water,YOU LIKE WATER
you play college,YOU PLAY COLLEGE
we play water,WE PLAY WATER
he want cricket,HE WANT CRICKET
he see school,HE SEE SCHOOL
you drink food,YOU DRINK FOOD
she want school,SHE WANT SCHOOL
they like water,THEY LIKE WATER
they study movie,THEY STUDY MOVIE
he like movie,HE LIKE MOVIE
they want water,THEY WANT WATER
she see movie,SHE SEE MOVIE
i see school,I SEE SCHOOL
i drink movie,I DRINK MOVIE
i want water,I WANT WATER
they want cricket,THEY WANT CRICKET
you go movie,YOU GO MOVIE
i eat food,I EAT FOOD
he play cricket,HE PLAY CRICKET
you drink food,YOU DRINK FOOD
i drink movie,I DRINK MOVIE
you play book,YOU PLAY BOOK
i study college,I STUDY COLLEGE
we see book,WE SEE BOOK
we want book,WE WANT BOOK
he drink movie,HE DRINK MOVIE
they study water,THEY STUDY WATER
you like movie,YOU LIKE MOVIE
she like college,SHE LIKE COLLEGE
she go school,SHE GO SCHOOL
you drink water,YOU DRINK WATER
you like food,YOU LIKE FOOD
we study college,WE STUDY COLLEGE
i study cricket,I STUDY CRICKET
we go water,WE GO WATER
you see movie,YOU SEE MOVIE
she study school,SHE STUDY SCHOOL
i play water,I PLAY WATER
you eat college,YOU EAT COLLEGE
i drink water,I DRINK WATER
they study water,THEY STUDY WATER
they see cricket,THEY SEE CRICKET
we eat cricket,WE EAT CRICKET
he drink water,HE DRINK WATER
she want cricket,SHE WANT CRICKET
they go college,THEY GO COLLEGE
he study college,HE STUDY COLLEGE
we see food,WE SEE FOOD
you eat food,YOU EAT FOOD
she play food,SHE PLAY FOOD
they study cricket,THEY STUDY CRICKET
he study school,HE STUDY SCHOOL
she go food,SHE GO FOOD
they want cricket,THEY WANT CRICKET
he play cricket,HE PLAY CRICKET
we eat movie,WE EAT MOVIE
they study school,THEY STUDY SCHOOL
i like school,I LIKE SCHOOL
they drink food,THEY DRINK FOOD
she play cricket,SHE PLAY CRICKET
they see movie,THEY SEE MOVIE
he study water,HE STUDY WATER
i play cricket,I PLAY CRICKET
we go book,WE GO BOOK
she like school,SHE LIKE SCHOOL
she eat water,SHE EAT WATER
they see cricket,THEY SEE CRICKET
they go book,THEY GO BOOK
they like food,THEY LIKE FOOD
we want college,WE WANT COLLEGE
he want college,HE WANT COLLEGE
they see movie,THEY SEE MOVIE
you eat cricket,YOU EAT CRICKET
they like movie,THEY LIKE MOVIE
he like book,HE LIKE BOOK
we study book,WE STUDY BOOK
they eat water,THEY EAT WATER
i drink college,I DRINK COLLEGE
he play movie,HE PLAY MOVIE
he eat food,HE EAT FOOD
they see cricket,THEY SEE CRICKET
he eat food,HE EAT FOOD
we like water,WE LIKE WATER
they go cricket,THEY GO CRICKET
he see movie,HE SEE MOVIE
we like school,WE LIKE SCHOOL
he want cricket,HE WANT CRICKET
they see movie,THEY SEE MOVIE
he study movie,HE STUDY MOVIE
she eat food,SHE EAT FOOD
she go book,SHE GO BOOK
they want movie,THEY WANT MOVIE
i see college,I SEE COLLEGE
he see food,HE SEE FOOD
he play book,HE PLAY BOOK
i drink cricket,I DRINK CRICKET
she like book,SHE LIKE BOOK
we go food,WE GO FOOD
they go college,THEY GO COLLEGE
she drink school,SHE DRINK SCHOOL
we eat movie,WE EAT MOVIE
you eat school,YOU EAT SCHOOL
he want book,HE WANT BOOK
i see college,I SEE COLLEGE
she see book,SHE SEE BOOK
you eat food,YOU EAT FOOD
she want water,SHE WANT WATER
they study food,THEY STUDY FOOD
they like book,THEY LIKE BOOK
we like food,WE LIKE FOOD
i drink school,I DRINK SCHOOL
you drink school,YOU DRINK SCHOOL
they go school,THEY GO SCHOOL
we like book,WE LIKE BOOK
she go water,SHE GO WATER
i want food,I WANT FOOD
he play food,HE PLAY FOOD
we eat water,WE EAT WATER
i go movie,I GO MOVIE
you like movie,YOU LIKE MOVIE
you like food,YOU LIKE FOOD
you drink cricket,YOU DRINK CRICKET
you go food,YOU GO FOOD
she see cricket,SHE SEE CRICKET
he drink movie,HE DRINK MOVIE
we drink cricket,WE DRINK CRICKET
he play movie,HE PLAY MOVIE
they drink food,THEY DRINK FOOD
you want college,YOU WANT COLLEGE
she go book,SHE GO BOOK
we want food,WE WANT FOOD
he want movie,HE WANT MOVIE
he see water,HE SEE WATER
she drink college,SHE DRINK COLLEGE
i like school,I LIKE SCHOOL
she drink school,SHE DRINK SCHOOL
we like college,WE LIKE COLLEGE
he play food,HE PLAY FOOD
he want school,HE WANT SCHOOL
i play college,I PLAY COLLEGE
you go water,YOU GO WATER
she drink school,SHE DRINK SCHOOL
she play college,SHE PLAY COLLEGE
he drink college,HE DRINK COLLEGE
you like college,YOU LIKE COLLEGE
you play water,YOU PLAY WATER
we study movie,WE STUDY MOVIE
he drink book,HE DRINK BOOK
they go college,THEY GO COLLEGE
they go book,THEY GO BOOK
i see cricket,I SEE CRICKET
you like movie,YOU LIKE MOVIE
they eat school,THEY EAT SCHOOL
we want movie,WE WANT MOVIE
we go school,WE GO SCHOOL
he like school,HE LIKE SCHOOL
we like school,WE LIKE SCHOOL
we drink school,WE DRINK SCHOOL
he drink cricket,HE DRINK CRICKET
i study book,I STUDY BOOK
we go water,WE GO WATER
she go water,SHE GO WATER
i see school,I SEE SCHOOL
we like college,WE LIKE COLLEGE
she go water,SHE GO WATER
they eat book,THEY EAT BOOK
she want food,SHE WANT FOOD
i study movie,I STUDY MOVIE
we go cricket,WE GO CRICKET
you eat cricket,YOU EAT CRICKET
she go water,SHE GO WATER
we want water,WE WANT WATER
she play cricket,SHE PLAY CRICKET
they like cricket,THEY LIKE CRICKET
they play book,THEY PLAY BOOK
you eat movie,YOU EAT MOVIE
they study movie,THEY STUDY MOVIE
i go college,I GO COLLEGE
we go college,WE GO COLLEGE
he play school,HE PLAY SCHOOL
i eat college,I EAT COLLEGE
he eat water,HE EAT WATER
i like movie,I LIKE MOVIE
he see book,HE SEE BOOK
you like college,YOU LIKE COLLEGE
they play book,THEY PLAY BOOK
you drink book,YOU DRINK BOOK
we drink movie,WE DRINK MOVIE
i go food,I GO FOOD
they like college,THEY LIKE COLLEGE
he want water,HE WANT WATER
he study book,HE STUDY BOOK
we study school,WE STUDY SCHOOL
they see cricket,THEY SEE CRICKET
he eat cricket,HE EAT CRICKET
i drink school,I DRINK SCHOOL
she go movie,SHE GO MOVIE
she go book,SHE GO BOOK
you like college,YOU LIKE COLLEGE
she drink food,SHE DRINK FOOD
she study book,SHE STUDY BOOK
he go water,HE GO WATER
i study college,I STUDY COLLEGE
they play book,THEY PLAY BOOK
she want food,SHE WANT FOOD
they want movie,THEY WANT MOVIE
she like book,SHE LIKE BOOK
they drink school,THEY DRINK SCHOOL
i see water,I SEE WATER
i like water,I LIKE WATER
they want cricket,THEY WANT CRICKET
she play water,SHE PLAY WATER
they eat book,THEY EAT BOOK
we drink cricket,WE DRINK CRICKET
i drink college,I DRINK COLLEGE
you want food,YOU WANT FOOD
you study school,YOU STUDY SCHOOL
she drink cricket,SHE DRINK CRICKET
we see college,WE SEE COLLEGE
he see book,HE SEE BOOK
we play food,WE PLAY FOOD
we like movie,WE LIKE MOVIE
he play book,HE PLAY BOOK
they drink college,THEY DRINK COLLEGE
you drink book,YOU DRINK BOOK
he like book,HE LIKE BOOK
we eat food,WE EAT FOOD
i go school,I GO SCHOOL
they go book,THEY GO BOOK
i see cricket,I SEE CRICKET
they drink water,THEY DRINK WATER
they go cricket,THEY GO CRICKET
i study college,I STUDY COLLEGE
you play school,YOU PLAY SCHOOL
she play water,SHE PLAY WATER
he go movie,HE GO MOVIE
he like cricket,HE LIKE CRICKET
he drink water,HE DRINK WATER
you play food,YOU PLAY FOOD
i drink food,I DRINK FOOD
i go movie,I GO MOVIE
she eat book,SHE EAT BOOK
he want book,HE WANT BOOK
they eat movie,THEY EAT MOVIE
i play book,I PLAY BOOK
we see food,WE SEE FOOD
you go book,YOU GO BOOK
we play book,WE PLAY BOOK
she play cricket,SHE PLAY CRICKET
we eat food,WE EAT FOOD
she want movie,SHE WANT MOVIE
they drink book,THEY DRINK BOOK
she study food,SHE STUDY FOOD
i drink college,I DRINK COLLEGE
you see movie,YOU SEE MOVIE
they see movie,THEY SEE MOVIE
we eat book,WE EAT BOOK
they study cricket,THEY STUDY CRICKET
we go book,WE GO BOOK
we study food,WE STUDY FOOD
i see college,I SEE COLLEGE
he drink book,HE DRINK BOOK
they like food,THEY LIKE FOOD
they want water,THEY WANT WATER
he see school,HE SEE SCHOOL
he eat food,HE EAT FOOD
you drink food,YOU DRINK FOOD
she want book,SHE WANT BOOK
i see water,I SEE WATER
you play food,YOU PLAY FOOD
she like book,SHE LIKE BOOK
you eat cricket,YOU EAT CRICKET
i see school,I SEE SCHOOL
we study food,WE STUDY FOOD
they play movie,THEY PLAY MOVIE
she like water,SHE LIKE WATER
you see food,YOU SEE FOOD
they study college,THEY STUDY COLLEGE
she like water,SHE LIKE WATER
we eat water,WE EAT WATER
they see cricket,THEY SEE CRICKET
you go book,YOU GO BOOK
we like food,WE LIKE FOOD
you like book,YOU LIKE BOOK
she play water,SHE PLAY WATER
she eat school,SHE EAT SCHOOL
we study book,WE STUDY BOOK
he want school,HE WANT SCHOOL
she play water,SHE PLAY WATER
they play food,THEY PLAY FOOD
he play movie,HE PLAY MOVIE
you eat food,YOU EAT FOOD
you study movie,YOU STUDY MOVIE
you want water,YOU WANT WATER
you study food,YOU STUDY FOOD
she see movie,SHE SEE MOVIE
i go book,I GO BOOK
we go water,WE GO WATER
he drink school,HE DRINK SCHOOL
we like book,WE LIKE BOOK
we like water,WE LIKE WATER
you study water,YOU STUDY WATER
you go food,YOU GO FOOD
i like food,I LIKE FOOD
i see food,I SEE FOOD
he want movie,HE WANT MOVIE
i study food,I STUDY FOOD
i study water,I STUDY WATER
he see movie,HE SEE MOVIE
we study college,WE STUDY COLLEGE
he go college,HE GO COLLEGE
we want food,WE WANT FOOD
we like cricket,WE LIKE CRICKET
she want book,SHE WANT BOOK
you play book,YOU PLAY BOOK
i play food,I PLAY FOOD
i study movie,I STUDY MOVIE
she eat movie,SHE EAT MOVIE
she go food,SHE GO FOOD
i see cricket,I SEE CRICKET
you want movie,YOU WANT MOVIE
