video_path,gloss,split,video_id
D:\signaraaa\datasets\WLASL\start_kit\videos\57657.mp4,THANK YOU,test,57657
D:\signaraaa\datasets\WLASL\start_kit\videos\27171.mp4,HELLO,val,27171
D:\signaraaa\datasets\WLASL\start_kit\videos\70017.mp4,HELLO,train,70017
D:\signaraaa\datasets\WLASL\start_kit\videos\27180.mp4,HELLO,train,27180
D:\signaraaa\datasets\WLASL\start_kit\videos\27181.mp4,HELLO,train,27181
D:\signaraaa\datasets\WLASL\start_kit\videos\27184.mp4,HELLO,train,27184
D:\signaraaa\datasets\WLASL\start_kit\videos\27172.mp4,HELLO,test,27172
D:\signaraaa\datasets\WLASL\start_kit\videos\27173.mp4,HELLO,train,27173
D:\signaraaa\datasets\WLASL\start_kit\videos\34118.mp4,LOVE,train,34118
D:\signaraaa\datasets\WLASL\start_kit\videos\34123.mp4,LOVE,train,34123
D:\signaraaa\datasets\WLASL\start_kit\videos\34124.mp4,LOVE,train,34124
D:\signaraaa\datasets\WLASL\start_kit\videos\34121.mp4,LOVE,train,34121
D:\signaraaa\datasets\WLASL\start_kit\videos\34134.mp4,LOVE,test,34134
D:\signaraaa\datasets\WLASL\start_kit\videos\34137.mp4,LOVE,train,34137
D:\signaraaa\datasets\WLASL\start_kit\videos\54915.mp4,STOP,test,54915
D:\signaraaa\datasets\WLASL\start_kit\videos\54925.mp4,STOP,train,54925
D:\signaraaa\datasets\WLASL\start_kit\videos\54922.mp4,STOP,train,54922
D:\signaraaa\datasets\WLASL\start_kit\videos\54923.mp4,STOP,train,54923
D:\signaraaa\datasets\WLASL\start_kit\videos\54929.mp4,STOP,train,54929
D:\signaraaa\datasets\WLASL\start_kit\videos\54932.mp4,STOP,val,54932
